ID,state,Area_name,Rural_Urban2003,Urban_2003,Rural_urban2013,Urban_2013,Less_highSch1970,HighSch1970,Somecoll1970,Bachelors1970,Percent_lesshighSch1970,Percent_highsch1970,Percent_somecoll1970,Percent_Bachelors1970,Less_highSch1980,Highsch1980,Somecoll1980,Bachelors1980,Percent_lesshighSch1980,Percent_highsch1980,SomeColl1980,Percent_Bachelors1980,Less_highSch1990,Highsch1990,Some_orAssociate1990,Bachelors1990,Percent_lesshighSch1990,Percent_highschl1990,Percent_orAssociate_deg1990,Percent_Bachalors1990,Less_highSch2000,HighSch_dip2000,Some_orAssociate2000,Bachelors2000,Percent_lesshighSch2000,Percent_highsch2000,Percent_orAssociate_deg2000,Percent_Bachalors2000,Less_highSch2015_19,HighSch_dip2015_19,SomeColl2015_19,Bachelors2015_19,Percent_lesshighSch2015_19,Percent_highsch2015_19,Percent_orAssociate_deg2015_19,Percent_Bachalors2015_19
36095,NY,Schoharie County,2,2,2,2,"6,399","4,470","1,439",922,48.4,33.8,10.9,7.0,"5,985","6,659","2,134","1,919",35.8,39.9,12.8,11.5,"5,185","7,391","4,285","2,836",26.3,37.5,21.8,14.4,"3,796","7,878","5,435","3,586",18.3,38.1,26.3,17.3,"2,308","7,970","7,026","5,005",10.3,35.7,31.5,22.4
36097,NY,Schuyler County,6,7,6,7,"4,248","3,290",764,704,47.2,36.5,8.5,7.8,"3,763","4,142","1,326","1,173",36.2,39.8,12.7,11.3,"3,106","4,674","2,613","1,641",25.8,38.8,21.7,13.6,"2,261","5,121","3,465","1,995",17.6,39.9,27.0,15.5,"1,268","4,430","4,428","3,103",9.6,33.5,33.5,23.5
36099,NY,Seneca County,6,3,6,3,"10,043","6,676","1,846","1,602",49.8,33.1,9.2,7.9,"6,933","7,876","2,949","2,458",34.3,39.0,14.6,12.2,"5,232","8,108","5,499","3,121",23.8,36.9,25.0,14.2,"4,727","8,053","5,857","3,948",20.9,35.7,25.9,17.5,"3,758","8,702","7,043","5,207",15.2,35.2,28.5,21.1
36101,NY,Steuben County,4,5,4,3,"24,707","18,544","5,891","5,112",45.5,34.2,10.9,9.4,"19,664","23,592","8,264","7,432",33.4,40.0,14.0,12.6,"15,910","23,596","14,881","9,186",25.0,37.1,23.4,14.4,"11,328","24,527","18,135","11,775",17.2,37.3,27.6,17.9,"6,475","25,012","20,500","16,099",9.5,36.7,30.1,23.6
36103,NY,Suffolk County,1,1,1,1,"238,771","212,082","61,603","69,959",41.0,36.4,10.6,12.0,"192,565","290,550","119,382","130,413",26.3,39.6,16.3,17.8,"152,118","281,557","225,073","196,295",17.8,32.9,26.3,23.0,"130,174","294,953","258,410","258,864",13.8,31.3,27.4,27.5,"97,090","281,922","277,165","374,665",9.4,27.3,26.9,36.3
36105,NY,Sullivan County,4,6,4,4,"15,264","9,692","3,175","2,585",49.7,31.6,10.3,8.4,"15,663","14,582","5,871","4,926",38.2,35.5,14.3,12.0,"13,282","15,665","10,518","6,643",28.8,34.0,22.8,14.4,"11,953","17,024","12,884","8,367",23.8,33.9,25.7,16.7,"7,038","17,945","14,951","13,152",13.3,33.8,28.2,24.8
36107,NY,Tioga County,2,2,2,2,"9,158","9,289","2,688","2,634",38.5,39.1,11.3,11.1,"7,913","11,945","4,102","4,161",28.1,42.5,14.6,14.8,"6,429","13,080","7,670","5,981",19.4,39.4,23.1,18.0,"5,214","12,789","9,487","6,733",15.2,37.4,27.7,19.7,"3,064","12,472","10,138","9,022",8.8,35.9,29.2,26.0
36109,NY,Tompkins County,3,2,3,2,"10,022","10,859","4,228","9,963",28.6,31.0,12.1,28.4,"8,432","12,948","6,559","15,933",19.2,29.5,15.0,36.3,"6,477","11,861","11,189","21,140",12.8,23.4,22.1,41.7,"4,584","11,816","11,488","25,187",8.6,22.3,21.6,47.5,"3,326","11,347","13,111","31,990",5.6,19.0,21.9,53.5
36111,NY,Ulster County,3,2,3,2,"35,378","24,557","9,028","8,725",45.5,31.6,11.6,11.2,"31,870","33,670","15,178","15,412",33.2,35.0,15.8,16.0,"25,699","32,050","28,576","23,733",23.4,29.1,26.0,21.6,"22,112","36,156","32,265","30,137",18.3,30.0,26.7,25.0,"12,059","38,710","37,174","42,247",9.3,29.7,28.6,32.5
36113,NY,Warren County,3,2,3,2,"11,620","9,121","3,154","3,050",43.1,33.9,11.7,11.3,"10,069","12,087","4,879","5,278",31.2,37.4,15.1,16.3,"8,376","12,716","9,946","7,480",21.7,33.0,25.8,19.4,"6,672","14,558","12,053","10,081",15.4,33.6,27.8,23.2,"3,854","14,653","14,333","14,993",8.1,30.6,30.0,31.3
36115,NY,Washington County,3,2,3,2,"13,815","9,181","2,799","2,090",49.5,32.9,10.0,7.5,"11,895","12,339","4,177","3,269",37.5,38.9,13.2,10.3,"9,870","15,153","8,578","4,402",26.0,39.9,22.6,11.6,"8,526","16,485","10,094","5,852",20.8,40.2,24.6,14.3,"5,440","17,429","12,888","9,235",12.1,38.7,28.6,20.5
36117,NY,Wayne County,1,1,1,1,"22,169","13,645","3,714","3,225",51.9,31.9,8.7,7.5,"17,770","18,887","6,789","5,649",36.2,38.5,13.8,11.5,"14,498","20,467","13,476","7,888",25.7,36.3,23.9,14.0,"10,954","22,316","17,948","10,513",17.7,36.2,29.1,17.0,"6,934","21,531","20,982","14,467",10.8,33.7,32.8,22.6
36119,NY,Westchester County,1,1,1,1,"188,188","169,437","61,131","111,085",35.5,32.0,11.5,21.0,"137,801","178,715","83,013","155,211",24.8,32.2,15.0,28.0,"114,862","151,506","124,712","213,464",19.0,25.1,20.6,35.3,"103,456","138,814","129,747","256,924",16.4,22.1,20.6,40.9,"79,762","128,492","133,103","326,933",11.9,19.2,19.9,48.9
36121,NY,Wyoming County,6,4,6,4,"10,377","6,839","2,064","1,371",50.2,33.1,10.0,6.6,"8,542","9,396","3,249","1,996",36.8,40.5,14.0,8.6,"8,083","10,756","5,736","2,633",29.7,39.5,21.1,9.7,"7,206","11,498","7,428","3,390",24.4,38.9,25.2,11.5,"2,938","11,614","9,350","5,131",10.1,40.0,32.2,17.7
36123,NY,Yates County,6,4,1,1,"4,911","3,473","1,281","1,014",46.0,32.5,12.0,9.5,"4,549","4,943","1,677","1,690",35.4,38.4,13.0,13.1,"3,867","5,366","3,267","2,201",26.3,36.5,22.2,15.0,"3,135","5,692","4,032","2,855",20.0,36.2,25.7,18.2,"2,272","5,443","4,757","4,201",13.6,32.6,28.5,25.2
