"","FIPS","CTYNAME","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","IA_MALE","IA_FEMALE","AA_MALE","AA_FEMALE","NA_MALE","NA_FEMALE","TOM_MALE","TOM_FEMALE","PCT_MALE","PCT_FEMALE","PCT_WA_MALE","PCT_WA_FEMALE","PCT_BA_MALE","PCT_BA_FEMALE","PCT_IA_MALE","PCT_IA_FEMALE","PCT_AA_MALE","PCT_AA_FEMALE","PCT_NA_MALE","PCT_NA_FEMALE","PCT_TOM_MALE","PCT_TOM_FEMALE","PCT_BY_F_WA_FEMALE","PCT_BY_F_BA_FEMALE","PCT_BY_F_IA_FEMALE","PCT_BY_F_AA_FEMALE","PCT_BY_F_NA_FEMALE","PCT_BY_F_TOM_FEMALE"
"21",36041,"Hamilton County",3949,1973,1976,1906,1907,27,16,9,6,9,20,2,1,20,26,0.499620157001773,0.500379842998227,0.482653836414282,0.482907065079767,0.00683717396809319,0.00405165864775893,0.0022790579893644,0.0015193719929096,0.0022790579893644,0.00506457330969866,0.000506457330969866,0.000253228665484933,0.00506457330969866,0.00658394530260826,0.965080971659919,0.00809716599190283,0.00303643724696356,0.0101214574898785,0.000506072874493927,0.0131578947368421
"22",36043,"Herkimer County",51110,25161,25949,24301,25099,395,320,77,85,123,180,9,5,256,260,0.492291136763843,0.507708863236157,0.47546468401487,0.491078066914498,0.00772842887888867,0.00626100567403639,0.00150655449031501,0.00166307963216592,0.00240657405595774,0.00352181569164547,0.000176090784582274,0.0000978282136568186,0.00500880453922911,0.00508706711015457,0.967243439053528,0.0123318817680835,0.00327565609464719,0.006936683494547,0.000192685652626305,0.0100196539365679
"23",36045,"Jefferson County",87167,46014,41153,39838,37302,3935,1930,329,262,813,729,131,130,968,800,0.527883258572625,0.472116741427375,0.457030757052554,0.427937178060505,0.0451432308098248,0.0221414067250221,0.00377436415157112,0.00300572464350041,0.00932692418002226,0.00836325673706793,0.0015028623217502,0.00149139009028646,0.0111051200569023,0.00917778517099361,0.906422375039487,0.0468981605229266,0.00636648603989989,0.0177143829125459,0.00315894345491216,0.0194396520302287
"24",36047,"Kings County",2064996,958676,1106320,494647,525089,305976,404012,9583,9671,126417,141265,1199,1131,20854,25152,0.46425077820974,0.53574922179026,0.239538962787337,0.254280879962964,0.148172684111737,0.195647836605979,0.00464068695532582,0.00468330204997976,0.0612190047825759,0.0684093334805491,0.000580630664659883,0.000547700818790932,0.0100988089081044,0.0121801688719978,0.474626690288524,0.36518547978885,0.00874159375225974,0.127689095379275,0.00102230819292791,0.0227348325981633
"25",36049,"Lewis County",21293,10742,10551,10468,10302,85,60,39,30,39,51,12,9,99,99,0.504485042032593,0.495514957967407,0.491616963321279,0.483820974029024,0.00399192222796224,0.00281782745503217,0.00183158784577091,0.00140891372751609,0.00183158784577091,0.00239515333677734,0.000563565491006434,0.000422674118254826,0.00464941530080308,0.00464941530080308,0.976400341199886,0.00568666477111174,0.00284333238555587,0.00483366505544498,0.000852999715666761,0.00938299687233438
"26",36051,"Livingston County",53930,27005,26925,24818,25657,1337,370,161,91,342,436,18,10,329,361,0.500741702206564,0.499258297793436,0.460189134062674,0.475746337845355,0.0247913962544039,0.0068607454107176,0.00298535138142036,0.00168737251993325,0.00634155386612275,0.0080845540515483,0.000333765992953829,0.000185425551641016,0.00610050064898943,0.00669386241424068,0.952906220984215,0.0137418755803157,0.00337975858867224,0.0161931290622098,0.000371402042711235,0.0134076137418756
"27",36053,"Madison County",59979,29332,30647,27840,29097,681,611,185,233,254,341,13,8,359,357,0.489037829907134,0.510962170092866,0.464162456859901,0.485119791927175,0.0113539738908618,0.0101868987478951,0.00308441287784058,0.00388469297587489,0.0042348155187649,0.00568532319645209,0.00021674252655096,0.000133380016339052,0.00598542823321496,0.0059520832291302,0.949424087186348,0.01993669853493,0.00760270173263288,0.0111267008190035,0.000261036969360786,0.0116487747577251
"28",36055,"Monroe County",615760,293403,322357,234079,251911,41765,50832,1151,1350,10640,11759,186,207,5582,6298,0.476489216577888,0.523510783422113,0.380146485643757,0.409105820449526,0.0678267506820839,0.0825516434974665,0.00186923476679226,0.00219241262829674,0.0172794595296869,0.0190967259971417,0.000302065739898662,0.000336169936338833,0.00906522021566844,0.0102280109133429,0.781465890301746,0.157688525454698,0.00418790347347816,0.0364781903293553,0.000642145199266652,0.0195373452414559
"29",36057,"Montgomery County",39889,19509,20380,18274,19164,655,542,107,130,153,217,34,20,286,307,0.48908220311364,0.51091779688636,0.458121286570232,0.480433202135927,0.0164205670736293,0.0135877058838276,0.00268244378149365,0.00325904384667452,0.0038356439118554,0.00544009626714132,0.000852365313745644,0.000501391361026849,0.00716989646268395,0.00769635739176214,0.940333660451423,0.026594700686948,0.00637880274779195,0.0106476938174681,0.00098135426889107,0.0150637880274779
"30",36059,"Nassau County",1118704,539519,579185,402867,425849,67686,78635,3167,2831,57132,62309,507,518,8160,9043,0.482271449820507,0.517728550179493,0.360119388149144,0.380662802671663,0.0605039402737453,0.0702911583403653,0.00283095439007995,0.00253060684506357,0.0510698093508202,0.0556974856619803,0.000453202992033639,0.000463035798566913,0.00729415466468342,0.00808346086185443,0.73525557464368,0.13576836416689,0.0048879028289752,0.107580479466837,0.000894360178526723,0.015613318715091
"31",36061,"New York County",1430113,671010,759103,448930,485639,112685,134075,7906,8507,82196,107037,1173,1347,18120,22498,0.469200685540234,0.530799314459766,0.313912257283166,0.339580858295813,0.0787944728843105,0.0937513329366281,0.00552823448217029,0.0059484809941592,0.0574751785348431,0.0748451346152367,0.000820214906094833,0.000941883613392788,0.0126703274496491,0.0157316240045367,0.639753762005946,0.176622935227499,0.011206647846208,0.141004580406085,0.00177446275406631,0.0296376117601959
"32",36063,"Niagara County",175031,84769,90262,75704,80399,5770,6169,891,989,846,1101,44,44,1514,1560,0.484308493923933,0.515691506076067,0.432517668298758,0.459341488079255,0.0329655889528141,0.0352451851386326,0.00509052682096314,0.0056504276385326,0.00483342950677309,0.00629031428718341,0.00025138404054139,0.00025138404054139,0.00864989630408328,0.008912706891922,0.890729210520485,0.068345483149055,0.0109569918681173,0.0121978241120294,0.000487469810108351,0.0172830205402052
"33",36065,"Oneida County",188317,93210,95107,80858,84495,7349,5090,343,310,3210,3636,61,56,1389,1520,0.494963280001274,0.505036719998726,0.429371750824408,0.448684930197486,0.0390246233744165,0.0270288927712315,0.00182139689990813,0.00164616046347382,0.0170457260895193,0.0193078691780349,0.000323921897651301,0.000297370922433981,0.00737586091537142,0.0080714964660652,0.888420410695322,0.0535186684471175,0.00325948668341973,0.0382306244545617,0.000588810497650015,0.015981999221929
"34",36067,"Onondaga County",380512,181222,199290,149949,163184,18962,22322,1603,1773,6643,7537,94,94,3971,4380,0.476258304600118,0.523741695399882,0.394071671852662,0.428853754940711,0.0498328567824405,0.058663064502565,0.00421274493314271,0.00465951139517282,0.0174580565133294,0.0198075224960054,0.00024703557312253,0.00024703557312253,0.0104359389454209,0.0115108064923051,0.818826835265191,0.11200762707612,0.00889658286918561,0.0378192583672036,0.000471674444277184,0.021978021978022
"35",36069,"Ontario County",92071,44672,47399,41994,44753,1241,1115,177,165,553,709,24,22,683,635,0.485190776683212,0.514809223316788,0.456104528027283,0.486070532523813,0.0134787283726689,0.0121102192872892,0.00192242942946205,0.00179209523085445,0.00600623431916673,0.00770057890106548,0.000260668397215193,0.000238946030780593,0.00741818813741569,0.0068968513429853,0.944176037469145,0.0235237030317095,0.00348108609886285,0.0149581214793561,0.000464144813181713,0.0133969071077449
"36",36071,"Orange County",304284,151653,152631,121681,122714,20360,19971,1340,1262,4484,4883,173,168,3615,3633,0.498392948692669,0.501607051307331,0.399892863246178,0.403287718052872,0.0669111750864324,0.0656327641282486,0.00440378067857659,0.00414744120624154,0.0147362332557742,0.0160475082488728,0.000568547804025187,0.000552115786567812,0.0118803486216824,0.0119395038845289,0.803991325484338,0.130844979067162,0.00826830722461361,0.0319921903152046,0.00110069383021798,0.0238025040784637
"37",36073,"Orleans County",34070,16906,17164,15132,15642,1261,1042,142,126,97,103,13,9,261,242,0.496213677722336,0.503786322277664,0.44414440857059,0.45911358966833,0.0370120340475492,0.0305840915761667,0.00416788963897857,0.00369826827120634,0.00284707954211917,0.00302318755503375,0.00038156736131494,0.000264162019371881,0.00766069856178456,0.00710302318755503,0.911326031228152,0.0607084595665346,0.00734094616639478,0.00600093218364018,0.000524353297599627,0.0140992775576789
"38",36075,"Oswego County",97020,48334,48686,46572,46969,663,472,230,251,266,423,17,19,586,552,0.498185941043084,0.501814058956916,0.480024737167594,0.48411667697382,0.00683364254792826,0.00486497629354772,0.00237064522778809,0.0025870954442383,0.00274170274170274,0.00435992578849722,0.000175221603793032,0.000195835910121624,0.00603999175427747,0.0056895485466914,0.964733188185515,0.00969477878650947,0.00515548617672431,0.00868832929384217,0.000390255925728135,0.0113379616316806
"39",36077,"Otsego County",51858,24857,27001,23413,25541,666,596,79,61,311,447,10,19,378,337,0.479328165374677,0.520671834625323,0.451482895599522,0.492518030005014,0.0128427629295384,0.0114929229819893,0.00152339079794824,0.00117628909714991,0.00599714605268232,0.00861969223649196,0.000192834278221297,0.000366385128620464,0.00728913571676501,0.0064985151760577,0.945927928595237,0.0220732565460539,0.0022591755860894,0.0165549424095404,0.000703677641568831,0.0124810192215103
"40",36079,"Putnam County",83130,41305,41825,37939,38427,1674,1537,174,182,810,1071,38,19,670,589,0.496872368579334,0.503127631420666,0.456381571033321,0.46225189462288,0.0201371346084446,0.0184891134367858,0.00209310718152292,0.0021893419944665,0.00974377481053771,0.0128834355828221,0.000457115361482016,0.000228557680741008,0.00805966558402502,0.00708528810297125,0.918756724447101,0.0367483562462642,0.00435146443514644,0.0256066945606695,0.00045427375971309,0.0140824865511058
